X,Y,Z,Facies,Porosity,Perm,AI
60,760,1000,0,0.072462279,2.11143956,6706.197419
60,340,1000,0,0.08017265,64.40479189,6379.231009
120,880,1000,0,0.07432465,0.790805918,6514.501513
120,820,1000,0,0.068137423,2.05909128,6408.851267
120,640,1000,0,0.0646233,13.95251514,5803.302397
120,400,1000,1,0.079161763,702.3994705,5610.213316
120,220,1000,1,0.066315509,12.01118581,5604.426477
120,160,1000,1,0.072155545,20.40433317,6186.205629
180,940,1000,0,0.073069066,2.708872358,6175.069356
180,700,1000,0,0.070087467,19.79665642,7156.118317
180,580,1000,1,0.075174398,19.25379837,5113.706829
180,460,1000,1,0.082422507,650.9135314,5501.172217
180,340,1000,1,0.061601789,0.293160974,5383.022389
180,220,1000,1,0.107511337,7.49097097,5729.973451
180,40,1000,0,0.061400333,72.33194689,5657.738707
240,940,1000,0,0.073642028,7.619457559,6256.137037
240,820,1000,0,0.070287954,2.298217454,6320.655115
240,640,1000,1,0.07685556,2.571353418,5380.673761
240,340,1000,1,0.070599227,4.146403128,5335.941678
240,280,1000,1,0.102103128,3.064544401,5851.351008
240,220,1000,1,0.123832597,10.33438874,5281.51729
240,160,1000,1,0.119295038,5.046847326,5005.804234
240,100,1000,1,0.105342421,20.85540439,5210.977279
240,40,1000,1,0.077483722,219.7837058,5297.662533
300,940,1000,0,0.073302158,2.475319905,6202.68114
300,880,1000,0,0.064281661,0.454463788,6180.220328
300,580,1000,1,0.077974496,227.2651784,6000.155515
300,520,1000,1,0.081768751,114.2693831,5465.750266
300,280,1000,1,0.111315847,14.56442049,4896.74971
300,220,1000,1,0.125754213,11.59385379,5230.105201
300,160,1000,1,0.121940557,85.71805748,5644.758394
300,40,1000,1,0.082556312,18.86790294,5878.172075
360,880,1000,0,0.071569359,39.72497996,6266.625094
360,580,1000,1,0.084352013,13.25135251,5741.940451
360,280,1000,1,0.104402646,13.25135251,4599.34018
360,220,1000,1,0.121481941,401.0512339,4828.951722
360,160,1000,1,0.109943713,1067.049379,5413.094188
360,100,1000,1,0.100783663,71.65175868,5258.978897
420,940,1000,0,0.062357765,48.60039916,5618.911088
420,580,1000,1,0.078786086,0.178301637,5697.168025
420,460,1000,0,0.064479714,14.57622019,5384.69216
420,400,1000,0,0.065678696,0.993961986,5923.975503
420,280,1000,1,0.080144584,46.96244705,5531.814779
420,100,1000,1,0.07587115,1.432933744,6064.100031
420,40,1000,0,0.058172641,0.358562666,6907.278527
480,760,1000,1,0.073829043,87.23539567,5331.412304
480,520,1000,0,0.073682533,31.31682747,5514.663223
480,40,1000,0,0.052817965,0.941467014,6849.462306
540,820,1000,1,0.071325861,130.2184922,5312.648072
540,640,1000,1,0.077483925,0.409492305,5471.545826
540,400,1000,0,0.070854916,3.64346775,6304.551438
540,280,1000,0,0.067324377,98.10494406,5601.779904
540,100,1000,0,0.056419669,5.239817132,7740.003917
600,820,1000,1,0.079275003,39.74643315,5491.401586
600,760,1000,1,0.082813652,6.56815848,4990.283938
600,700,1000,1,0.093806497,0.100929802,5461.296333
600,520,1000,1,0.069298373,0.345544177,6251.8211
600,460,1000,0,0.063575041,3.196354303,5457.82857
600,340,1000,0,0.07344196,313.8690745,6538.190048
600,160,1000,0,0.058561303,9.010073278,7904.720751
600,40,1000,0,0.05874937,0.019447905,8938.440246
660,760,1000,1,0.098266413,0.708906349,4518.001691
660,700,1000,1,0.103457459,13.66918052,4185.789779
660,640,1000,1,0.096553904,2.054094715,4886.903504
660,520,1000,1,0.084363317,27.01774136,5212.697754
660,460,1000,1,0.076188405,545.1280051,6104.457228
660,40,1000,0,0.05770673,0.85959957,7808.016876
720,880,1000,1,0.095080747,14.30336825,5202.04305
720,760,1000,1,0.11469339,4.85836041,4498.427997
720,700,1000,1,0.110584997,32.05237052,4574.425058
720,580,1000,1,0.098797254,41.46716963,4229.117687
720,520,1000,1,0.095400581,2498.710874,4758.767722
720,460,1000,1,0.093904327,741.1640877,4625.077049
720,340,1000,0,0.063331745,9.975317505,6588.169911
780,820,1000,1,0.113672656,3.264370245,4219.570404
780,760,1000,1,0.121624347,10.82846309,5127.716357
780,700,1000,1,0.117296038,4.055627669,3928.039145
780,640,1000,1,0.113460445,8.081309737,3911.284492
780,580,1000,1,0.106417714,2877.604044,3220.535571
780,520,1000,1,0.104983227,5290.759742,4311.121009
780,400,1000,1,0.086440931,7.685562224,5368.286347
780,340,1000,0,0.069727818,52.3597168,6692.505509
780,100,1000,0,0.054023853,3.665170201,7791.407131
840,820,1000,1,0.126320907,35.12396595,4266.86034
840,760,1000,1,0.128538593,6.346795503,3377.453355
840,700,1000,1,0.127908206,14.56048937,3584.997003
840,640,1000,1,0.121433393,3284.560286,3209.801553
840,580,1000,1,0.114192558,18780.70861,3548.901613
840,520,1000,1,0.115105844,6900.481465,4624.6684
840,460,1000,1,0.097488863,269.9062624,4771.178987
840,400,1000,1,0.088167422,382.8556561,6267.433122
840,340,1000,1,0.082315361,238.7741436,6909.872195
840,280,1000,0,0.063101951,1.315057363,7616.346272
840,160,1000,0,0.05990013,1.20037942,7858.200517
840,100,1000,0,0.052930773,0.614236953,7483.782772
