X,Y,Z,Facies,Porosity,Perm,AI
80,920,1000,1,0.164330931,69.10661506,5012.616594
80,680,1000,1,0.133723212,1.558071605,5710.57985
80,600,1000,1,0.096294817,3.5689594,4912.388066
80,280,1000,0,0.102919486,0.196018416,6753.323723
80,40,1000,1,0.145738219,0.10994261,6492.944055
160,840,1000,0,0.128851921,0.673042756,6068.296567
160,760,1000,0,0.103364502,5.368072508,5574.433666
160,680,1000,0,0.126885143,24.31442042,4201.709904
160,360,1000,1,0.148611348,45.08238091,6643.024955
160,280,1000,1,0.113361309,0.584446993,6285.906684
160,120,1000,0,0.142251707,5.189213825,7330.542384
240,840,1000,1,0.138286956,58.99241607,5004.663292
240,760,1000,1,0.138240113,7.311809217,5585.804077
240,520,1000,1,0.143688853,20.56316625,4795.544795
240,440,1000,1,0.123518699,6.208777999,4918.436446
240,360,1000,1,0.136659968,9.013449036,3575.60687
240,280,1000,1,0.143964202,0.970414251,7241.511745
320,840,1000,1,0.183436705,43.33708929,5111.164955
320,440,1000,1,0.148578134,28.86642972,6344.672254
320,280,1000,1,0.120418122,9.937707566,5897.982698
320,120,1000,0,0.135132407,1.850340182,5501.993421
320,40,1000,0,0.085408588,0.023559111,6476.494604
400,840,1000,1,0.095861225,44.62223274,4809.157945
400,760,1000,1,0.150852691,7.059403043,4528.409166
400,440,1000,1,0.130656985,0.41646361,5003.228196
400,360,1000,1,0.191297842,200.5494296,5152.732054
400,120,1000,1,0.115003896,5.542747322,4421.94052
480,920,1000,1,0.155656952,25.49890073,5094.526723
480,840,1000,1,0.138178115,6.174130903,4860.447046
480,680,1000,1,0.216843683,435.0585668,4028.525276
480,600,1000,1,0.147613422,8.159916277,3731.710555
480,440,1000,1,0.176191439,13.30245389,4521.393132
480,360,1000,1,0.198617984,777.6043671,3890.81103
480,280,1000,1,0.184802885,5135.459961,5660.923822
480,200,1000,1,0.202734275,782.9410351,4495.657662
480,120,1000,1,0.133522917,0.76739621,3651.638882
560,680,1000,1,0.181338334,54.53018729,3787.589
560,440,1000,1,0.125287386,6.10351786,4191.443767
560,360,1000,1,0.155753538,429.9491502,4489.536408
560,120,1000,1,0.172178885,45.40589342,4117.317002
560,40,1000,1,0.128847785,4.699279521,6072.164082
640,840,1000,1,0.156496693,18.48329099,6166.868579
640,600,1000,1,0.167241246,33.42880846,4323.35624
640,440,1000,1,0.131342077,1112.840197,4345.559137
640,360,1000,1,0.162057271,30.98680877,4508.515057
720,920,1000,1,0.150385226,21.92998922,5929.799727
720,680,1000,1,0.137441011,0.150545508,4803.723621
720,600,1000,1,0.114982721,3.335093344,5589.604922
720,280,1000,1,0.126343721,107.7266844,5007.230951
800,920,1000,1,0.114138068,0.991763969,6581.413544
800,840,1000,1,0.154555858,3.316482388,5434.550317
800,760,1000,1,0.120296373,1.443355578,4409.599929
800,440,1000,1,0.138815453,70.49538424,5352.280145
800,360,1000,0,0.117962459,1.221432391,7386.884231
800,120,1000,0,0.137363741,0.563395239,7215.777352
800,40,1000,0,0.117731597,0.103765494,6174.244316
880,920,1000,0,0.101581121,0.514663475,5635.872085
880,840,1000,0,0.104276017,0.784523265,5880.675567
880,520,1000,1,0.110511627,9.476079081,5681.068682
880,280,1000,0,0.135864767,1.119604902,4891.896633
880,200,1000,0,0.120191306,2.697905218,6020.781996
960,680,1000,0,0.125772128,5.236209896,5539.229237
960,600,1000,0,0.150248672,10.68095434,6446.671247
960,520,1000,0,0.117030541,3.197022842,6386.046054
960,280,1000,1,0.140152137,0.256100916,6626.495183
960,200,1000,0,0.083880489,0.195167116,5789.566282
960,40,1000,0,0.096434875,0.396994515,6421.620798
15,1014,1000,0,0.134131547,0.1625612,6168.753749
25,1014,1000,1,0.131790366,0.090724754,6359.240232
5,1004,1000,1,0.134499131,0.411956613,6071.900762
15,1004,1000,1,0.144222448,0.490603673,5411.395613
5,994,1000,1,0.195427347,2522.298233,1808.77498
25,994,1000,1,0.159001964,24182.54297,2856.819779
35,994,1000,1,0.179904389,19538.02209,3223.751511
45,994,1000,1,0.183462523,2238.463772,3811.855656
5,984,1000,1,0.184003995,6023.415909,3219.761301
25,984,1000,1,0.199247383,15731.64154,2499.226928
35,984,1000,1,0.196117032,3230.499149,2992.137378
45,984,1000,1,0.18568655,2681.604349,3355.731359
15,974,1000,1,0.185778738,1290.329704,2649.275974
25,974,1000,1,0.176699519,927.2099291,2814.904963
45,974,1000,1,0.191173906,109.4483299,3021.29434
300,879,1000,1,0.134349826,156.8278969,4807.065252
690,649,1000,1,0.145334203,0.323350521,5476.317203
580,49,1000,1,0.145178657,8.538825199,3870.890442
230,209,1000,0,0.155952652,0.562695065,6839.143189
710,529,1000,1,0.150045454,18.9959387,4677.217247
240,359,1000,1,0.116338147,2.53920904,4426.106119
600,319,1000,1,0.177456153,516.026287,5162.434414
480,449,1000,1,0.176191439,13.30245389,4521.393132
610,49,1000,0,0.098996825,0.360295912,7540.356346
980,539,1000,1,0.111262402,4.764002796,6541.253087
880,609,1000,0,0.146069488,17.53725025,4968.599371
690,849,1000,1,0.131713076,4.70220232,6611.956277
490,169,1000,1,0.166633411,25.06660667,5151.930029
430,769,1000,1,0.118603849,10.2387704,4278.861049
40,419,1000,1,0.116981824,4.903752577,5092.056371
360,789,1000,1,0.143986999,0.955743501,5731.57923
520,649,1000,1,0.219891593,227.9545477,3872.274415
30,789,1000,0,0.114140249,0.596933917,5696.206914
380,759,1000,1,0.125294944,1.939876579,5610.335713
640,529,1000,1,0.138826266,0.974041284,3736.570576
300,949,1000,1,0.153123637,27.31241619,4154.12662
480,739,1000,1,0.145292884,348.021298,3703.323302
380,79,1000,1,0.106077282,0.783548278,6656.213367
10,39,1000,0,0.128914119,0.049743777,6602.075197
420,239,1000,1,0.142057041,9.07530798,4452.573094
210,529,1000,1,0.160393027,81.43448869,4445.04532
620,299,1000,1,0.166780213,470.3670442,5062.473982
970,279,1000,1,0.141268054,0.181191442,7764.154637
820,479,1000,1,0.144511026,111.0592964,4798.106143
510,279,1000,1,0.178728232,263.5730502,3563.960945
420,499,1000,0,0.113030414,1.566327939,5599.367916
390,409,1000,1,0.15988665,55.45336238,4348.622987
50,279,1000,0,0.114894411,0.65061766,7911.757046
550,229,1000,1,0.212854033,1305.663685,4529.411325
40,929,1000,1,0.178765628,401.026786,4196.034625
30,519,1000,1,0.166920563,10.5818003,4933.732409
530,599,1000,1,0.158505582,7.817239452,4754.284788
50,849,1000,1,0.15310787,0.856940236,5912.054777
