X,Y,Z,Facies,Porosity,Perm,AI
70,860,1000,0,0.10969267,5.3681924,6916.401343
70,720,1000,0,0.107545422,6.031168883,7024.994918
70,580,1000,1,0.124327385,11.19082343,7399.261939
70,510,1000,0,0.107361476,1.23766475,5993.892454
70,300,1000,1,0.114040786,2.205837942,7305.256816
70,230,1000,1,0.116838163,123.9075409,7650.992735
70,20,1000,0,0.104705974,1.406463348,6836.589232
140,650,1000,0,0.115578877,56.22585043,6665.772681
140,510,1000,0,0.101539699,28.58832896,6840.252221
140,440,1000,1,0.128043726,39.57062342,6482.497791
140,370,1000,1,0.120812977,14.85675714,7106.22397
140,90,1000,0,0.08761957,1.887236365,7490.291236
210,580,1000,1,0.113837054,88.03263217,5196.306947
210,510,1000,1,0.140020935,25.46428216,6696.152302
210,440,1000,1,0.128893191,45.63786591,6667.702775
210,370,1000,0,0.110945444,6.513299023,7698.626319
280,790,1000,0,0.110439784,19.3726606,7685.121619
280,580,1000,1,0.12156841,4.779252956,7904.26675
280,440,1000,0,0.095456013,33.14813925,7766.938922
280,230,1000,0,0.080766026,0.648830537,8161.331075
280,90,1000,0,0.122427379,0.317495034,9223.070102
280,20,1000,1,0.101028005,1.223039037,9031.808392
350,930,1000,0,0.088433884,15.28450205,6471.704037
350,790,1000,1,0.12900682,8.752478687,6031.430205
350,720,1000,1,0.124573846,736.52433,6319.231259
350,580,1000,1,0.129297568,29.39002512,7016.110055
350,90,1000,0,0.108242431,4.836405656,5407.628092
420,860,1000,1,0.114993026,11.26436717,5880.831015
420,720,1000,1,0.113993985,14.12909152,5890.226002
420,650,1000,1,0.115789527,1.410906115,7070.022108
420,510,1000,0,0.095293975,0.122992796,6128.547459
420,230,1000,1,0.103566948,6.13744343,6692.762654
490,930,1000,1,0.127395069,21.79690615,6470.83503
490,720,1000,1,0.105281605,30.19222087,5959.384215
490,300,1000,0,0.108683605,5.121391586,6885.907665
490,160,1000,1,0.112803488,9.579116605,8506.124875
490,20,1000,0,0.075941263,0.114165205,7633.290064
560,860,1000,1,0.119441048,126.3971737,5685.866625
560,790,1000,1,0.114296086,2.737443386,6857.49647
560,720,1000,1,0.139179785,27.32697577,7973.43896
560,580,1000,1,0.142018799,12.20622535,5463.810113
560,510,1000,1,0.142138197,21.78104792,6203.305231
560,440,1000,1,0.110675453,0.871043575,6254.440745
630,930,1000,1,0.131442473,51.06315008,7852.443237
630,720,1000,1,0.170231883,43.03560345,4903.265427
630,580,1000,1,0.160147424,120.3231027,4969.561559
630,510,1000,1,0.167470643,116.1076709,4593.201192
630,440,1000,1,0.151690867,163.8603726,5576.305131
630,370,1000,1,0.160384423,37.61424803,5354.483209
630,300,1000,1,0.139461046,1138.717422,6985.12192
700,930,1000,1,0.169682925,130.383792,6270.030434
700,790,1000,1,0.151667028,3.302093903,8237.773488
700,650,1000,1,0.174785734,473.2749033,3982.443895
700,580,1000,1,0.177987498,396.0757856,5058.675385
700,440,1000,1,0.172049843,6.878714841,4050.537575
700,370,1000,1,0.152441154,84.53729608,6717.585123
700,300,1000,1,0.141637499,2938.07248,6077.601727
770,930,1000,1,0.16270566,8.885123354,5480.753656
770,720,1000,1,0.166885634,84.23021972,5045.73366
770,650,1000,1,0.173347302,112.9679085,5532.898346
770,580,1000,1,0.172978618,11.42121722,4738.626659
770,440,1000,1,0.175950368,22081.88926,5190.015526
770,370,1000,1,0.166824565,67.25005769,5160.34636
770,300,1000,1,0.157097568,536.9098154,6172.115303
770,230,1000,1,0.143579265,42.57866107,8375.49874
770,20,1000,0,0.107972518,0.018448218,8321.231981
840,860,1000,1,0.107798354,1.796108608,5105.90768
840,790,1000,1,0.138746602,226.0388045,7302.494272
840,720,1000,1,0.159778128,54.44060991,5782.7566
840,440,1000,1,0.165914931,1589.599553,3649.12297
840,370,1000,1,0.170113447,30.83624529,7341.268374
840,300,1000,1,0.134624768,187.7507233,4995.561469
840,230,1000,1,0.11512285,7.36757473,6745.463424
910,790,1000,1,0.116915033,91.16239208,7286.849643
910,720,1000,1,0.118523563,46.71324222,4306.154879
910,650,1000,1,0.150480935,190.0881501,5295.055782
910,510,1000,1,0.153414041,64.03385993,6370.276948
910,440,1000,1,0.151672131,903.6633332,5344.780205
910,300,1000,1,0.146282566,172.8436467,5913.47162
980,930,1000,0,0.103355205,6.135954646,7314.259183
980,720,1000,1,0.119651777,37.96261432,6862.881596
980,580,1000,1,0.122613967,401.3961133,6221.450866
980,510,1000,1,0.132023015,12.01525245,6212.830882
980,370,1000,1,0.141854509,318.3081618,7115.870572
980,230,1000,0,0.113465913,102.6947172,6769.064897
980,90,1000,1,0.118414995,38.11950519,7240.850356
735,994,1000,1,0.185512355,89.62732247,5447.655255
745,994,1000,1,0.17108163,110.4744505,5839.30847
755,994,1000,1,0.162732553,19.15766835,6565.421093
745,984,1000,1,0.181047844,8.079078685,5160.133495
735,974,1000,1,0.188827741,9.281720638,5075.66123
745,974,1000,1,0.193037286,7.227714814,4875.454808
755,974,1000,1,0.166006017,8.116404861,6281.906582
460,109,1000,0,0.117888875,0.065311864,8474.329253
470,829,1000,1,0.09259559,0.26641626,5826.450303
950,629,1000,1,0.131821587,790.9760168,6803.631627
930,359,1000,1,0.14391238,7.457488871,4573.935353
810,569,1000,1,0.156160189,346.5167435,4566.085569
60,19,1000,0,0.109415315,45.90436655,6796.285595
700,519,1000,1,0.169177048,182.0542138,5166.39024
400,679,1000,1,0.103460817,53.79727516,6770.126506
380,789,1000,1,0.129429168,13.3299196,6770.918848
990,509,1000,1,0.14567816,10.29729424,5964.265589
520,549,1000,1,0.140815133,24.41765401,5376.597134
260,109,1000,0,0.108088272,1.109392135,8798.791427
730,369,1000,1,0.155296927,20.05167109,5525.338718
120,719,1000,0,0.109701797,1.481771015,7095.232705
110,629,1000,0,0.11796225,0.116940387,5602.761897
580,39,1000,0,0.106492545,56.37609718,6984.032528
140,579,1000,0,0.112384581,33.72405631,7068.483694
770,379,1000,1,0.166824565,67.25005769,5160.34636
310,419,1000,0,0.119593513,4.823516254,7240.512467
900,759,1000,1,0.130830955,3.387289799,5910.814465
610,379,1000,1,0.15104487,3.359464611,6599.614317
120,269,1000,1,0.123390651,34.8637663,8866.921873
820,499,1000,1,0.165982956,18.02152783,5288.180288
690,649,1000,1,0.180588597,21.26414883,5877.363448
790,729,1000,1,0.151037957,5.698321506,4303.299586
880,899,1000,1,0.113689836,42.71315948,9017.328566
460,339,1000,0,0.111110754,49.26223739,7542.945423
710,339,1000,1,0.146097042,2020.645103,6220.027345
330,929,1000,0,0.113990318,4.320457357,7752.232967
800,549,1000,1,0.155273834,68.65123754,4379.965412
640,479,1000,1,0.156862655,134.3005169,5011.879056
860,639,1000,1,0.159205723,88.31071156,5745.706516
240,809,1000,1,0.116386927,33.74042342,6659.426738
870,549,1000,1,0.158865681,186.8872848,4374.737375
220,799,1000,1,0.121480833,10.27982198,6449.227051
380,239,1000,1,0.109765634,139.4806764,8970.85895
940,9,1000,1,0.107394509,0.266028741,7433.743022
820,459,1000,1,0.173674335,7207.653463,4306.021081
620,899,1000,1,0.106254,32.01010727,7246.186706
750,99,1000,0,0.100278767,0.477479376,7568.845273
560,889,1000,0,0.112157639,391.6802499,6613.613891
580,659,1000,1,0.152734677,34.91455165,5575.173855
620,729,1000,1,0.156474596,249.3758091,6222.449179
500,399,1000,0,0.107128215,18.68488539,7361.438732
390,649,1000,1,0.117565417,35.26357041,6517.647653
990,759,1000,1,0.125019232,35.57290139,7050.332628
650,649,1000,1,0.172824437,4.802498558,5612.112075
990,209,1000,0,0.095764012,4.408336212,6638.60285
830,499,1000,1,0.158785199,49.05948567,4560.097778
750,999,1000,1,0.162732553,19.15766835,6565.421093
640,649,1000,1,0.152875879,3.423641253,6454.637036
